Referencia,Titular,NIF/CIF,Domicilio social,Localidad,Provincia,C. Postal,F. Concesion,F. Caducidad,Susceptible cesion,Susceptible mutualizacion,Obtenido por transferencia
ALAL-1700443,AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.,A41999913,"AV ANDALUCÍA, S/N. 4º",SEVILLA,SEVILLA,41907,21/09/2017,31/12/2022,,,
ALAL-1700463,"SPOTTING BRANDS TECHNOLOGIES, S.L.",B86779584,"AV BRUSELAS (DE), 38",ALCOBENDAS,MADRID,28108,29/09/2017,31/12/2022,true,,Detalle
ALAL-1700505,VODAFONE ONO SA,A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,15/11/2017,31/12/2022,true,,
ALAL-1800003,AIRE NETWORKS DEL MEDITERRANEO S.L.,B53704599,"CALLE SANTIAGO RAMON Y CAJAL, 11.",ELCHE,ALICANTE/ALACANT,03203,25/01/2018,31/12/2023,true,,
ALAL-1800004,TELPLAY SL,B73264129,"CL ORFEON FERNANDEZ CABALLERO, 34. BAJOº",PUERTO LUMBRERAS-PUERTO LUMBRERAS,MURCIA,30890,31/01/2018,31/12/2023,true,,
ALAL-1800014,"SPOTTING BRANDS TECHNOLOGIES, S.L.",B86779584,"AV BRUSELAS (DE), 38",ALCOBENDAS,MADRID,28108,06/03/2018,31/12/2023,true,,Detalle
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
ALAL-1800031,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,16/04/2018,31/12/2023,true,,
ALAL-1800079,TELPLAY SL,B73264129,"CL ORFEON FERNANDEZ CABALLERO, 34. BAJOº",PUERTO LUMBRERAS-PUERTO LUMBRERAS,MURCIA,30890,09/05/2018,31/12/2023,true,,
ALAL-1800089,WIMACON COMUNICACIONES SL,B04750964,"CL PERU, 5. 1º 6",ALCANTARILLA,MURCIA,30820,09/05/2018,31/12/2023,true,,
ALAL-1800159,"RETEVISION I, SAU",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,20/06/2018,31/12/2023,true,,
ALAL-1800166,"RETEVISION I, SAU",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,22/06/2018,31/12/2023,true,,
ALAL-1800183,"SPOTTING BRANDS TECHNOLOGIES, S.L.",B86779584,"AV BRUSELAS (DE), 38",ALCOBENDAS,MADRID,28108,27/07/2018,31/12/2023,true,,Detalle
ALAL-1800184,"SPOTTING BRANDS TECHNOLOGIES, S.L.",B86779584,"AV BRUSELAS (DE), 38",ALCOBENDAS,MADRID,28108,27/07/2018,31/12/2023,true,,Detalle
ALAL-1800199,WIMACON COMUNICACIONES SL,B04750964,"CL PERU, 5. 1º 6",ALCANTARILLA,MURCIA,30820,19/09/2018,31/12/2023,true,,
ALAL-1800310,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,17/10/2018,31/12/2023,true,,
ALAL-1900072,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO 1. PARQUE EMPRESARIAL LA FINCA, 5. 0º",MADRID,MADRID,28223,06/03/2019,31/12/2024,,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
ALAL-1900077,"ORANGE ESPAGNE, SAU",A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,06/03/2019,31/12/2024,,,
ALAL-1900138,ORANGE ESPAGNE SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,22/04/2019,31/12/2024,,,
ALAL-1900636,"ORANGE ESPAGNE, S.A.U.",A82009812,"PASEO DEL CLUB DEPORTIVO, 1.",MADRID,MADRID,28223,30/01/2020,31/12/2025,,,
ALAL-2000003,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,29/03/2020,31/12/2025,true,,
ALAL-2000004,"ORANGE ESPAGNE, S.A.U.",A82009812,"PS CLUB DEPORTIVO, 1",MADRID,MADRID,28223,15/04/2020,31/12/2025,,,
ALAL-2000020,"ORANGE ESPAGNE, S.A.U.",A82009812,"PS CLUB DEPORTIVO, 1",MADRID,MADRID,28223,15/04/2020,31/12/2025,,,
