Referencia,Titular,NIF/CIF,Domicilio social,Localidad,Provincia,C. Postal,F. Concesion,F. Caducidad,Susceptible cesion,Susceptible mutualizacion,Obtenido por transferencia
ABAB-1300098,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,07/01/2014,31/12/2024,true,,
ABAB-1300137,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,18/12/2013,31/12/2023,true,,
ABAB-1400040,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,02/04/2014,31/12/2024,true,,
ABAB-1400042,VODAFONE ONO SA,A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,14/04/2014,31/12/2024,true,,
ABAB-1500026,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,16/02/2015,31/12/2025,true,,
ABAB-1500110,"SPOTTING BRANDS TECHNOLOGIES, S.L.",B86779584,"AV BRUSELAS (DE), 38",ALCOBENDAS,MADRID,28108,28/04/2015,31/12/2025,true,,Detalle
ABAB-1500209,"SPOTTING BRANDS TECHNOLOGIES, S.L.",B86779584,"AV BRUSELAS (DE), 38",ALCOBENDAS,MADRID,28108,18/09/2015,31/12/2025,true,,Detalle
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
ABAB-1500230,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,05/10/2015,31/12/2025,true,,
ABAB-1500253,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,05/10/2015,31/12/2025,true,,
ABAB-1600272,JUAN GABRIEL PAREJA GOMEZ,74518132H,"TERCIA, 9",CASAS-IBÁÑEZ,ALBACETE,02200,04/08/2016,31/12/2026,,,
ABAB-1600326,"SPOTTING BRANDS TECHNOLOGIES, S.L.",B86779584,"AV BRUSELAS (DE), 38",ALCOBENDAS,MADRID,28108,20/10/2016,31/12/2026,true,,Detalle
ABAB-1600451,"SPOTTING BRANDS TECHNOLOGIES, S.L.",B86779584,"AV BRUSELAS (DE), 38",ALCOBENDAS,MADRID,28108,29/12/2016,31/12/2026,,,Detalle
ABAB-1700074,"RETEVISION I, SAU",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,21/03/2017,31/12/2022,true,,
ABAB-1800014,AIRE NETWORKS MEDITERRANEO,B53704599,"CL SANTIAGO RAMON Y CAJAL (PARQUE EMPRESARIAL), 11",TORRELLANO,ALICANTE/ALACANT,03320,21/02/2018,31/12/2023,true,,
ABAB-1800023,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,14/02/2018,31/12/2023,true,,
ABAB-1800028,"XFERA MOVILES, S.A.U.",A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,26/03/2018,31/12/2023,true,,
ABAB-1800100,"RETEVISION I, SAU",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,02/07/2018,31/12/2023,true,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
ABAB-1800140,"RETEVISION I, SAU",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,17/07/2018,31/12/2023,true,,
ABAB-1800436,MARQUES BIDCO SL,B88419569,"CL PEDRO TEIXEIRA, 8. 6º",MADRID,MADRID,28020,26/12/2018,31/12/2023,,,Detalle
ABAB-1900151,VODAFONE ONO SA,A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,11/04/2019,31/12/2024,true,,
ABAB-2000145,"SPOTTING BRANDS TECHNOLOGIES, S.L.",B86779584,"AV BRUSELAS (DE), 38",ALCOBENDAS,MADRID,28108,18/05/2020,31/12/2025,true,,Detalle
ABAB-2000326,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,14/07/2020,31/12/2025,true,,
ABAB-2000434,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,10/11/2020,31/12/2025,true,,
ABAB-2000469,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,04/12/2020,31/12/2025,true,,
ABAB-2100043,MONTEL TELECOM SOCIEDAD LIMITADA,B02447118,"CALLE CONCEJO, 24.",MONTEALEGRE DEL CASTILLO,ALBACETE,02650,23/02/2021,31/12/2026,true,,
ABAB-2100137,"RETEVISION I, S.A.U.",A62275680,"CALLE JUAN ESPLANDIÚ, 11.",MADRID,MADRID,28007,16/04/2021,31/12/2026,true,,
ABAB-2100164,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,12/04/2021,31/12/2026,true,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
ABAB-2100172,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,10/05/2021,31/12/2026,true,,
ABAB-2100194,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,14/05/2021,31/12/2026,true,,
ABAB-2100250,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,26/07/2021,31/12/2026,true,,
ABAB-2100344,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,18/10/2021,31/12/2026,true,,
ABAB-2100404,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,16/12/2021,31/12/2026,true,,
ABAB-2200001,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,18/01/2022,31/12/2027,true,,
ABAB-2200014,MONTEL TELECOM SOCIEDAD LIMITADA,B02447118,"CALLE CONCEJO, 24.",MONTEALEGRE DEL CASTILLO,ALBACETE,02650,03/02/2022,31/12/2027,,,
ABAB-2200075,VODAFONE ONO S.A.,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,26/05/2022,31/12/2027,true,,
ABZZ-0800004,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,11/02/2008,31/12/2023,true,,
ABZZ-1500152,ALBACETE SISTEMAS Y SERVICIOS SL,B02353514,APARTADO 5003,ALBACETE,ALBACETE,02080,03/06/2015,31/12/2025,true,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
ABZZ-1600022,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,22/01/2016,31/12/2026,true,,
ABZZ-1600199,RETEVISION I SA,A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,21/06/2016,31/12/2026,true,,
ABZZ-2000335,WIFIS MADRIGUERAS SOCIEDAD LIMITADA,B02491447,"CALLE PASOS, 19",MADRIGUERAS,ALBACETE,02230,28/07/2020,31/12/2025,true,,
AVZZ-1100080,JUNTA DE CASTILLA Y LEON,S4711001J,"CL RIGOBERTO CORTEJOSO, 14",VALLADOLID,VALLADOLID,47014,07/11/2011,31/12/2026,true,,
AVZZ-1100084,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,07/11/2011,31/12/2026,true,,
AVZZ-2000167,"RETEVISION I, S.A.U.",A62275680,"CL JUAN ESPLANDIU, 11-13",MADRID,MADRID,28007,31/07/2020,31/12/2025,true,,
AVZZ-2000168,"RETEVISION I, S.A.U.",A62275680,"CL JUAN ESPLANDIU, 11-13",MADRID,MADRID,28007,31/07/2020,31/12/2025,true,,
AVZZ-2000221,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,14/10/2020,31/12/2025,true,,
CCZZ-2100323,"RETEVISION I, S.A.U.",A62275680,"CALLE JUAN ESPLANDIÚ, 11.",MADRID,MADRID,28007,09/07/2021,31/12/2026,true,,
CRCR-1000031,TOMELLOSO BEST SERVICE SL,B13170188,"CL CONCORDIA, 14. B PTA C",TOMELLOSO,CIUDAD REAL,13700,09/04/2010,31/12/2025,true,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
CRCR-1000069,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/12/2010,31/12/2025,true,,
CRCR-1200458,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,05/10/2012,31/12/2022,true,,
CRCR-1200489,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,14/01/2013,31/12/2023,true,,
CRCR-1300005,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,08/03/2013,31/12/2023,true,,
CRCR-1300022,CIUDAD SIN CABLES TELECOM S.L.,B13495106,"CL ALMAGRO, 16 A",BOLAÑOS DE CALATRAVA,CIUDAD REAL,13260,02/09/2013,31/12/2023,true,,Detalle
CRCR-1300135,"XFERA MOVILES, S.A.U.",A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,05/12/2013,31/12/2023,true,,
CRCR-1300140,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,07/01/2014,31/12/2024,true,,
CRCR-1300167,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,21/01/2014,31/12/2024,true,,
CRCR-1500002,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,B53704599,"CL RAMON Y CAJAL,11 (PARQUE EMPRESARIAL)",ELCHE,ALICANTE/ALACANT,03203,20/01/2015,31/12/2025,true,,
CRCR-1500003,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,B53704599,"CL RAMON Y CAJAL,11 (PARQUE EMPRESARIAL)",ELCHE,ALICANTE/ALACANT,03203,20/01/2015,31/12/2025,true,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
CRCR-1500013,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,30/01/2015,31/12/2025,true,,
CRCR-1500076,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,B53704599,"CL RAMON Y CAJAL,11 (PARQUE EMPRESARIAL)",ELCHE,ALICANTE/ALACANT,03203,09/03/2015,31/12/2025,true,,
CRCR-1500078,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,B53704599,"CL RAMON Y CAJAL,11 (PARQUE EMPRESARIAL)",ELCHE,ALICANTE/ALACANT,03203,10/03/2015,31/12/2025,true,,
CRCR-1500212,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,B53704599,"CL RAMON Y CAJAL,11 (PARQUE EMPRESARIAL)",ELCHE,ALICANTE/ALACANT,03203,17/06/2015,31/12/2025,true,,
CRCR-1500213,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,B53704599,"CL RAMON Y CAJAL,11 (PARQUE EMPRESARIAL)",ELCHE,ALICANTE/ALACANT,03203,17/06/2015,31/12/2025,true,,
CRCR-1500214,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,B53704599,"CL RAMON Y CAJAL,11 (PARQUE EMPRESARIAL)",ELCHE,ALICANTE/ALACANT,03203,17/06/2015,31/12/2025,true,,
CRCR-1600130,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,B53704599,"CL RAMON Y CAJAL,11 (PARQUE EMPRESARIAL)",ELCHE,ALICANTE/ALACANT,03203,29/04/2016,31/12/2026,true,,
CRCR-1600245,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,B53704599,"CL RAMON Y CAJAL,11 (PARQUE EMPRESARIAL)",ELCHE,ALICANTE/ALACANT,03203,13/06/2016,31/12/2026,true,,
CRCR-1600430,AIRE NETWORKS MEDITERRANEO,B53704599,"CL RAMON Y CAJAL,11 (PARQUE EMPRESARIAL)",ELCHE,ALICANTE/ALACANT,03203,10/11/2016,31/12/2026,true,,
CRCR-1700232,VODAFONE ONO SA,A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,04/09/2017,31/12/2022,true,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
CRCR-1800016,AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.,A41999913,"AV ANDALUCÍA, S/N. 4º",SEVILLA,SEVILLA,41907,01/02/2018,31/12/2023,true,,
CRCR-1801082,"RETEVISION I, S.A.UNIP.",A62275680,"CL JUAN ESPLANDIU, 11-13",MADRID,MADRID,28007,22/06/2018,31/12/2023,true,,
CRCR-1801089,"RETEVISION I, SAU",A62275680,"AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,17/07/2018,31/12/2023,true,,
CRCR-1900095,AIRE NETWORKS DEL MEDITERRANEO SL,B53704599,"CL SANTIAGO RAMON Y CAJAL (PARQUE EMPRESARIAL), 11",TORRELLANO,ALICANTE/ALACANT,03320,28/04/2019,31/12/2024,true,,
CRCR-1900134,TELCONET SISTEMAS SL,B13561584,"AV DE LOS VINOS, 5. 1º F",ALCÁZAR DE SAN JUAN,CIUDAD REAL,13600,14/06/2019,31/12/2024,true,,
CRCR-1900288,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,03/12/2019,31/12/2024,,,
CRCR-2000133,"RETEVISION I, S.A.UNIP.",A62275680,"CL JUAN ESPLANDIU, 11-13",MADRID,MADRID,28007,11/06/2020,31/12/2025,true,,
CRCR-2000196,"RETEVISION I, S.A.UNIP.",A62275680,"CL JUAN ESPLANDIU, 11-13",MADRID,MADRID,28007,11/06/2020,31/12/2025,true,,
CRCR-2000197,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO 1. PARQUE EMPRESARIAL LA FINCA, 5. 0º",MADRID,MADRID,28223,12/06/2020,31/12/2025,,,
CRCR-2000279,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,14/07/2020,31/12/2025,true,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
CRCR-2000577,ORANGE ESPAGNE S.A.U,A82009812,"PASEO CLUB DEPORTIVO, 1.",POZUELO DE ALARCÓN,MADRID,28223,13/11/2020,31/12/2025,,,
CRCR-2100016,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,27/01/2021,31/12/2026,true,,
CRCR-2100129,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,29/03/2021,31/12/2026,true,,
CRCR-2100211,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,27/04/2021,31/12/2026,true,,
CRCR-2100239,MARQUES BIDCO S.L.,B88419569,"CL PEDRO TEIXEIRA, 8. 6º",MADRID,MADRID,28020,13/05/2021,31/12/2026,true,,
CRCR-2100240,MARQUES BIDCO S.L.,B88419569,"CL PEDRO TEIXEIRA, 8. 6º",MADRID,MADRID,28020,13/05/2021,31/12/2026,true,,
CRCR-2100241,MARQUES BIDCO S.L.,B88419569,"CL PEDRO TEIXEIRA, 8. 6º",MADRID,MADRID,28020,13/05/2021,31/12/2026,true,,
CRCR-2100242,MARQUES BIDCO S.L.,B88419569,"CL PEDRO TEIXEIRA, 8. 6º",MADRID,MADRID,28020,13/05/2021,31/12/2026,true,,
CRCR-2100243,MARQUES BIDCO S.L.,B88419569,"CL PEDRO TEIXEIRA, 8. 6º",MADRID,MADRID,28020,13/05/2021,31/12/2026,true,,
CRCR-2100320,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,08/07/2021,31/12/2026,true,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
CRCR-2100382,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,30/08/2021,31/12/2026,true,,
CRCR-2100383,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,02/09/2021,31/12/2026,true,,
CRCR-2100493,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,14/10/2021,31/12/2026,true,,
CRCR-2100494,"ORANGE ESPAGNE, S.A.U.",A82009812,"PASEO PASEO DEL CLUB DEPORTIVO, 1.",MADRID,MADRID,28223,14/10/2021,31/12/2026,,,
CRCR-2100495,"ORANGE ESPAGNE, S.A.U.",A82009812,"PASEO PASEO DEL CLUB DEPORTIVO, 1.",MADRID,MADRID,28223,18/10/2021,31/12/2026,true,,
CRCR-2100496,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,14/10/2021,31/12/2026,true,,
CRCR-2100566,"ORANGE ESPAGNE, S.A.U.",A82009812,"PASEO PASEO CLUB DEPORTIVO, 1.",MADRID,MADRID,28223,22/11/2021,31/12/2026,,,
CRCR-2100614,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,14/01/2022,31/12/2027,true,,
CRCR-2200025,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,15/02/2022,31/12/2027,true,,
CRCR-2200061,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,28/03/2022,31/12/2027,true,,
...,11,12,13,14,15,16,17,18,19,20,...
CRCR-2200092,VODAFONE ONO S.A.,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,03/05/2022,31/12/2027,true,,
CRCR-2200143,"ORANGE ESPAGNE, S.A.U.",A82009812,"PS CLUB DEPORTIVO, 1",MADRID,MADRID,28223,03/06/2022,31/12/2027,,,
CRZZ-1500077,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,B53704599,"CL RAMON Y CAJAL,11 (PARQUE EMPRESARIAL)",ELCHE,ALICANTE/ALACANT,03203,09/03/2015,31/12/2025,true,,
CRZZ-1900129,"RETEVISION I, SAU",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,19/06/2019,31/12/2024,true,,
CUCU-1201495,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,14/05/2012,31/12/2022,true,,
CUCU-1201562,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,29/01/2013,31/12/2023,true,,
CUCU-1201563,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,29/01/2013,31/12/2023,true,,
CUCU-1300180,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,22/11/2013,31/12/2023,true,,
CUCU-1300251,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,03/02/2014,31/12/2024,true,,
CUCU-1500346,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,18/01/2016,31/12/2026,true,,
...,11,12,13,14,15,16,17,18,19,20,...
CUCU-1600246,ALBACETE SISTEMAS Y SERVICIOS SL,B02353514,APARTADO DE CORREOS 5003,ALBACETE,ALBACETE,02080,18/11/2016,31/12/2026,true,,
CUCU-1900204,"RETEVISION I, SAU",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,08/08/2019,31/12/2024,true,,
CUCU-1900205,"RETEVISION I, SAU",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,08/08/2019,31/12/2024,true,,
CUCU-1900206,"RETEVISION I, SAU",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,08/08/2019,31/12/2024,true,,
CUCU-2000198,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,13/11/2020,31/12/2025,true,,
CUCU-2000199,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,05/11/2020,31/12/2025,true,,
CUCU-2000218,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,10/11/2020,31/12/2025,true,,
CUCU-2000225,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,13/11/2020,31/12/2025,true,,
CUCU-2100015,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,03/02/2021,31/12/2026,true,,
CUCU-2100066,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,12/04/2021,31/12/2026,true,,
...,11,12,13,14,15,16,17,18,19,20,...
CUCU-2100102,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,26/03/2021,31/12/2026,true,,
CUCU-2100103,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,12/04/2021,31/12/2026,true,,
CUCU-2100139,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,19/04/2021,31/12/2026,true,,
CUCU-2100182,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,13/05/2021,31/12/2026,true,,
CUCU-2100183,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,20/05/2021,31/12/2026,true,,
CUCU-2100244,"XFERA MOVILES, S.A.U.",A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,12/07/2021,31/12/2026,,,
CUCU-2100421,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,14/10/2021,31/12/2026,true,,
CUCU-2200005,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,09/02/2022,31/12/2027,true,,
CUCU-2200014,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,24/02/2022,31/12/2027,true,,
CUZZ-2100056,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,18/03/2021,31/12/2026,true,,
...,11,12,13,14,15,16,17,18,19,20,...
CUZZ-2100101,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,26/03/2021,31/12/2026,true,,
DGAB-8702901,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,30/04/2001,31/12/2026,,,
DGCR-0100287,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,20/04/2001,31/12/2026,,,
DGCR-0100329,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,23/04/2001,31/12/2026,,,
DGCU-0100330,"RETEVISION I, S.A.",A62275680,"AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,23/04/2001,31/12/2026,,,
DGCU-0100335,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,23/04/2001,31/12/2026,,,
DGTO-0100209,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,26/04/2001,31/12/2026,,,
DGTO-0100210,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,19/04/2001,31/12/2026,,,
DGTO-0100339,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,23/04/2001,31/12/2026,,,
DGTO-0100340,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,23/04/2001,31/12/2026,,,
...,11,12,13,14,15,16,17,18,19,20,...
DGZZ-9000432,"RETEVISION I, S.A.U.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,17/05/1993,31/12/2025,true,,
DGZZ-9200008,"RETEVISION I, SAU",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,08/03/1995,31/12/2025,true,,
DGZZ-9400103,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,07/02/2001,31/12/2026,true,,
GUGU-1300099,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,05/09/2013,31/12/2023,true,,
GUGU-1300100,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,05/09/2013,31/12/2023,true,,
GUGU-1300101,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,02/09/2013,31/12/2023,true,,
GUGU-1300158,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,28/11/2013,31/12/2023,true,,
GUGU-1300164,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,07/01/2014,31/12/2024,true,,
GUGU-1400006,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,02/04/2014,31/12/2024,true,,
GUGU-1800008,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,23/01/2018,31/12/2023,true,,
...,11,12,13,14,15,16,17,18,19,20,...
GUGU-1800143,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,30/08/2018,31/12/2023,true,,
GUGU-1900064,VODAFONE ONO SA,A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,05/04/2019,31/12/2024,true,,
GUGU-1900104,ORANGE ESPAÑA SA,A82009812,"PASEO CLUB DEPORTIVO, 1.",POZUELO DE ALARCÓN,MADRID,28223,24/04/2019,31/12/2024,,,
GUGU-1900200,VODAFONE ONO SA,A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,07/08/2019,31/12/2024,true,,
GUGU-1900206,"XFERA MOVILES, S.A.U.",A82528548,"AVDA BRUSELAS, 38.",MADRID,MADRID,28108,04/09/2019,31/12/2024,true,,
GUGU-2000010,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO 1. PARQUE EMPRESARIAL LA FINCA, 5. 0º",MADRID,MADRID,28223,11/05/2020,31/12/2025,,,
GUGU-2000066,"RETEVISION I, S.A.U.",A62275680,"CL JUAN ESPLANDIU, 11-13",MADRID,MADRID,28007,07/08/2020,31/12/2025,true,,
GUGU-2000098,"RETEVISION I, S.A.U.",A62275680,"CALLE JUAN ESPLANDIU, 11.",MADRID,MADRID,28007,15/09/2020,31/12/2025,true,,
GUGU-2000116,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,23/10/2020,31/12/2025,true,,
GUGU-2000131,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,04/12/2020,31/12/2025,true,,
...,11,12,13,14,15,16,17,18,19,20,...
