;Referencia;Comunidad;Provincia;Municipio;Frequencias;Tipo;codigopostalid;lat;lon
1437170;ALAL-1300535;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;12933.0;MHz;240;-2712437310.0;42939811580.0
1451835;ALAL-1300535;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;17920.0;MHz;240;-2712437310.0;42939811580.0
1466500;ALAL-1300535;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;18930.0;MHz;240;-2712437310.0;42939811580.0
1481165;ALAL-1300535;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;75750.0;MHz;240;-2712437310.0;42939811580.0
1495830;ALAL-1300535;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;85750.0;MHz;240;-2712437310.0;42939811580.0
1510495;ALAL-1300535;ANDALUCÍA;ALMERÍA;TURRILLAS;13199.0;MHz;240;-2712437310.0;42939811580.0
1525160;ALAL-1400014;ANDALUCÍA;ALMERÍA;ARBOLEAS;7866.3;MHz;240;-2712437310.0;42939811580.0
1539825;ALAL-1400014;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;8177.62;MHz;240;-2712437310.0;42939811580.0
1554490;ALAL-1400014;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;14935.0;MHz;240;-2712437310.0;42939811580.0
1569155;ALAL-1400014;ANDALUCÍA;ALMERÍA;VERA;14515.0;MHz;240;-2712437310.0;42939811580.0
1583820;ALAL-1400026;ANDALUCÍA;ALMERÍA;ALMERIA;19535.0;MHz;240;-2712437310.0;42939811580.0
1598485;ALAL-1400026;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;18525.0;MHz;240;-2712437310.0;42939811580.0
1613150;ALAL-1400055;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;27968.5;MHz;240;-2712437310.0;42939811580.0
1627815;ALAL-1400055;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;28976.5;MHz;240;-2712437310.0;42939811580.0
1642480;ALAL-1400056;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;28192.5;MHz;240;-2712437310.0;42939811580.0
1657145;ALAL-1400056;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;29200.5;MHz;240;-2712437310.0;42939811580.0
1671810;ALAL-1400107;ANDALUCÍA;ALMERÍA;EJIDO (EL);19562.5;MHz;240;-2712437310.0;42939811580.0
1686475;ALAL-1400107;ANDALUCÍA;ALMERÍA;EJIDO (EL);29326.5;MHz;240;-2712437310.0;42939811580.0
1701140;ALAL-1400107;ANDALUCÍA;ALMERÍA;MOJONERA (LA);18552.5;MHz;240;-2712437310.0;42939811580.0
1715805;ALAL-1400107;ANDALUCÍA;ALMERÍA;MOJONERA (LA);28318.5;MHz;240;-2712437310.0;42939811580.0
1730470;ALAL-1400139;ANDALUCÍA;ALMERÍA;DALIAS;39.34;GHz;240;-2712437310.0;42939811580.0
1745135;ALAL-1400139;ANDALUCÍA;ALMERÍA;EJIDO (EL);38.08;GHz;240;-2712437310.0;42939811580.0
1759800;ALAL-1400152;ANDALUCÍA;ALMERÍA;LUBRIN;14.599;GHz;240;-2712437310.0;42939811580.0
1774465;ALAL-1400152;ANDALUCÍA;ALMERÍA;LUBRIN;14.739;GHz;240;-2712437310.0;42939811580.0
1789138;ALAL-1400152;ANDALUCÍA;ALMERÍA;PECHINA;15.019;GHz;1474;-3127917180.0;43120843580.0
1803803;ALAL-1400152;ANDALUCÍA;ALMERÍA;PECHINA;15.159;GHz;1474;-3127917180.0;43120843580.0
1818462;ALAL-1400218;ANDALUCÍA;ALMERÍA;NIJAR;7881.125;MHz;1450;-3000073260.0;43054277760.0
1833125;ALAL-1400218;ANDALUCÍA;ALMERÍA;TABERNAS;8192.445;MHz;240;-2712437310.0;42939811580.0
1847790;ALAL-1400237;ANDALUCÍA;ALMERÍA;ALMERIA;7762.525;MHz;240;-2712437310.0;42939811580.0
1862455;ALAL-1400237;ANDALUCÍA;ALMERÍA;ALMERIA;7881.125;MHz;240;-2712437310.0;42939811580.0
1877120;ALAL-1400237;ANDALUCÍA;ALMERÍA;ALMERIA;7940.425;MHz;240;-2712437310.0;42939811580.0
1891793;ALAL-1400237;ANDALUCÍA;ALMERÍA;PECHINA;8073.845;MHz;1474;-3127917180.0;43120843580.0
1906458;ALAL-1400237;ANDALUCÍA;ALMERÍA;PECHINA;8192.445;MHz;1474;-3127917180.0;43120843580.0
1921123;ALAL-1400237;ANDALUCÍA;ALMERÍA;PECHINA;8251.745;MHz;1474;-3127917180.0;43120843580.0
1935780;ALAL-1400250;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;15.327;GHz;240;-2712437310.0;42939811580.0
1950445;ALAL-1400250;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;15.334;GHz;240;-2712437310.0;42939811580.0
1965110;ALAL-1400250;ANDALUCÍA;ALMERÍA;GALLARDOS (LOS);14.907;GHz;240;-2712437310.0;42939811580.0
1979775;ALAL-1400250;ANDALUCÍA;ALMERÍA;GALLARDOS (LOS);14.914;GHz;240;-2712437310.0;42939811580.0
1994442;ALAL-1400252;ANDALUCÍA;ALMERÍA;MOJACAR;19370.0;MHz;1450;-3000073260.0;43054277760.0
2009105;ALAL-1400252;ANDALUCÍA;ALMERÍA;VERA;18360.0;MHz;240;-2712437310.0;42939811580.0
2023770;ALAL-1400260;ANDALUCÍA;ALMERÍA;ALMERIA;18.82;GHz;240;-2712437310.0;42939811580.0
2038443;ALAL-1400260;ANDALUCÍA;ALMERÍA;PECHINA;17.81;GHz;1474;-3127917180.0;43120843580.0
2053100;ALAL-1500110;ANDALUCÍA;ALMERÍA;ALMERIA;7610.0;MHz;240;-2712437310.0;42939811580.0
2067765;ALAL-1500110;ANDALUCÍA;ALMERÍA;ALMERIA;7694.0;MHz;240;-2712437310.0;42939811580.0
2082430;ALAL-1500110;ANDALUCÍA;ALMERÍA;TABERNAS;7456.0;MHz;240;-2712437310.0;42939811580.0
2097095;ALAL-1500110;ANDALUCÍA;ALMERÍA;TABERNAS;7540.0;MHz;240;-2712437310.0;42939811580.0
2111760;ALAL-1500111;ANDALUCÍA;ALMERÍA;LUBRIN;6875.0;MHz;240;-2712437310.0;42939811580.0
2126425;ALAL-1500111;ANDALUCÍA;ALMERÍA;LUBRIN;6935.0;MHz;240;-2712437310.0;42939811580.0
2141090;ALAL-1500111;ANDALUCÍA;ALMERÍA;TABERNAS;6535.0;MHz;240;-2712437310.0;42939811580.0
2155755;ALAL-1500111;ANDALUCÍA;ALMERÍA;TABERNAS;6595.0;MHz;240;-2712437310.0;42939811580.0
2170420;ALAL-1500112;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;8073.845;MHz;240;-2712437310.0;42939811580.0
2185085;ALAL-1500112;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;8133.145;MHz;240;-2712437310.0;42939811580.0
2199750;ALAL-1500112;ANDALUCÍA;ALMERÍA;LUBRIN;7762.525;MHz;240;-2712437310.0;42939811580.0
2214415;ALAL-1500112;ANDALUCÍA;ALMERÍA;LUBRIN;7821.825;MHz;240;-2712437310.0;42939811580.0
2229080;ALAL-1500113;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;6815.0;MHz;240;-2712437310.0;42939811580.0
2243745;ALAL-1500113;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;6935.0;MHz;240;-2712437310.0;42939811580.0
2258410;ALAL-1500113;ANDALUCÍA;ALMERÍA;GALLARDOS (LOS);6475.0;MHz;240;-2712437310.0;42939811580.0
2273075;ALAL-1500113;ANDALUCÍA;ALMERÍA;GALLARDOS (LOS);6595.0;MHz;240;-2712437310.0;42939811580.0
2287740;ALAL-1500158;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;22274.0;MHz;240;-2712437310.0;42939811580.0
2302405;ALAL-1500158;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;23282.0;MHz;240;-2712437310.0;42939811580.0
2317070;ALAL-1500385;ANDALUCÍA;ALMERÍA;LUBRIN;7040.0;MHz;240;-2712437310.0;42939811580.0
2331735;ALAL-1500385;ANDALUCÍA;ALMERÍA;TABERNAS;6700.0;MHz;240;-2712437310.0;42939811580.0
2346400;ALAL-1500418;ANDALUCÍA;ALMERÍA;ALMERIA;17.865;GHz;240;-2712437310.0;42939811580.0
2361065;ALAL-1500418;ANDALUCÍA;ALMERÍA;ALMERIA;18.875;GHz;240;-2712437310.0;42939811580.0
2375730;ALAL-1500418;ANDALUCÍA;ALMERÍA;ALMERIA;22.414;GHz;240;-2712437310.0;42939811580.0
