:Referencia:Titular:NIF/CIF:Domicilio social:Localidad:Provincia_x:C. Postal:F. Concesion:F. Caducidad:Susceptible cesion:Susceptible mutualizacion:Obtenido por transferencia:dia_concesion:mes_concesion:año_concesion:Comunidad:Provincia_y:Municipio:Frequencias:Tipo:codigopostalid:lat:lon
71:ALAL-1300395:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-05-11:2023-12-31:True:False:False:3886:324:11:ANDALUCÍA:ALMERÍA:PECHINA:6550.0:MHz:1474.0:-3127917180.0:43120843580.0
72:ALAL-1300395:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-05-11:2023-12-31:True:False:False:3886:324:11:ANDALUCÍA:ALMERÍA:PECHINA:6580.0:MHz:1474.0:-3127917180.0:43120843580.0
73:ALAL-1300395:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-05-11:2023-12-31:True:False:False:3886:324:11:ANDALUCÍA:ALMERÍA:PECHINA:6610.0:MHz:1474.0:-3127917180.0:43120843580.0
74:ALAL-1300395:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-05-11:2023-12-31:True:False:False:3886:324:11:ANDALUCÍA:ALMERÍA:PECHINA:6640.0:MHz:1474.0:-3127917180.0:43120843580.0
75:ALAL-1300395:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-05-11:2023-12-31:True:False:False:3886:324:11:ANDALUCÍA:ALMERÍA:PECHINA:6670.0:MHz:1474.0:-3127917180.0:43120843580.0
76:ALAL-1300399:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2013-12-13:2023-12-31:True:False:False:3670:306:10:ANDALUCÍA:ALMERÍA:CUEVAS DEL ALMANZORA:15.159:GHz:240.0:-2712437310.0:42939811580.0
77:ALAL-1300399:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2013-12-13:2023-12-31:True:False:False:3670:306:10:ANDALUCÍA:ALMERÍA:MOJACAR:14.739:GHz:1450.0:-3000073260.0:43054277760.0
78:ALAL-1300406:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2014-01-21:2024-12-31:True:False:False:3997:333:11:ANDALUCÍA:ALMERÍA:DALIAS:14.739:GHz:240.0:-2712437310.0:42939811580.0
79:ALAL-1300406:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2014-01-21:2024-12-31:True:False:False:3997:333:11:ANDALUCÍA:ALMERÍA:DALIAS:14.907:GHz:240.0:-2712437310.0:42939811580.0
80:ALAL-1300406:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2014-01-21:2024-12-31:True:False:False:3997:333:11:ANDALUCÍA:ALMERÍA:DALIAS:14.914:GHz:240.0:-2712437310.0:42939811580.0
81:ALAL-1300406:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2014-01-21:2024-12-31:True:False:False:3997:333:11:ANDALUCÍA:ALMERÍA:ROQUETAS DE MAR:15.159:GHz:240.0:-2712437310.0:42939811580.0
82:ALAL-1300406:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2014-01-21:2024-12-31:True:False:False:3997:333:11:ANDALUCÍA:ALMERÍA:ROQUETAS DE MAR:15.327:GHz:240.0:-2712437310.0:42939811580.0
83:ALAL-1300406:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2014-01-21:2024-12-31:True:False:False:3997:333:11:ANDALUCÍA:ALMERÍA:ROQUETAS DE MAR:15.334:GHz:240.0:-2712437310.0:42939811580.0
84:ALAL-1300524:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2014-03-02:2024-12-31:True:False:False:3957:330:11:ANDALUCÍA:ALMERÍA:ADRA:38.03975:GHz:240.0:-2712437310.0:42939811580.0
85:ALAL-1300524:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2014-03-02:2024-12-31:True:False:False:3957:330:11:ANDALUCÍA:ALMERÍA:ADRA:39.29975:GHz:240.0:-2712437310.0:42939811580.0
86:ALAL-1300524:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2014-03-02:2024-12-31:True:False:False:3957:330:11:ANDALUCÍA:ALMERÍA:CARBONERAS:38.0415:GHz:240.0:-2712437310.0:42939811580.0
87:ALAL-1300524:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2014-03-02:2024-12-31:True:False:False:3957:330:11:ANDALUCÍA:ALMERÍA:CARBONERAS:39.3015:GHz:240.0:-2712437310.0:42939811580.0
88:ALAL-1300524:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2014-03-02:2024-12-31:True:False:False:3957:330:11:ANDALUCÍA:ALMERÍA:MOJACAR:38.0415:GHz:1450.0:-3000073260.0:43054277760.0
89:ALAL-1300524:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2014-03-02:2024-12-31:True:False:False:3957:330:11:ANDALUCÍA:ALMERÍA:MOJACAR:39.3015:GHz:1450.0:-3000073260.0:43054277760.0
90:ALAL-1300524:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2014-03-02:2024-12-31:True:False:False:3957:330:11:ANDALUCÍA:ALMERÍA:NIJAR:38.045:GHz:1450.0:-3000073260.0:43054277760.0
91:ALAL-1300524:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2014-03-02:2024-12-31:True:False:False:3957:330:11:ANDALUCÍA:ALMERÍA:NIJAR:38.0485:GHz:1450.0:-3000073260.0:43054277760.0
92:ALAL-1300524:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2014-03-02:2024-12-31:True:False:False:3957:330:11:ANDALUCÍA:ALMERÍA:NIJAR:38.0555:GHz:1450.0:-3000073260.0:43054277760.0
93:ALAL-1300524:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2014-03-02:2024-12-31:True:False:False:3957:330:11:ANDALUCÍA:ALMERÍA:NIJAR:39.305:GHz:1450.0:-3000073260.0:43054277760.0
94:ALAL-1300524:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2014-03-02:2024-12-31:True:False:False:3957:330:11:ANDALUCÍA:ALMERÍA:NIJAR:39.3085:GHz:1450.0:-3000073260.0:43054277760.0
95:ALAL-1300524:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2014-03-02:2024-12-31:True:False:False:3957:330:11:ANDALUCÍA:ALMERÍA:NIJAR:39.3155:GHz:1450.0:-3000073260.0:43054277760.0
96:ALAL-1300524:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2014-03-02:2024-12-31:True:False:False:3957:330:11:ANDALUCÍA:ALMERÍA:ROQUETAS DE MAR:38.0415:GHz:240.0:-2712437310.0:42939811580.0
