;Referencia;Titular;NIF/CIF;Domicilio social;Localidad;Provincia_x;C. Postal;F. Concesion;F. Caducidad;Susceptible cesion;Susceptible mutualizacion;Obtenido por transferencia;dia_concesion;mes_concesion;año_concesion;Comunidad;Provincia_y;Municipio;Frequencias;Tipo;codigopostalid;lat;lon;brand_sort;score_sort;match_sort;ratio
106903;MAMA-0700221;AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.;A41999913;AV ANDALUCIA. DOLMEN DE LA PASTORA. S/N;VALENCINA DE LA CONCEPCIÓN;SEVILLA;41907;2007-09-04;2022-12-31;True;False;False;5597;466;16;;;;;;;;;REDES DE TELECOMUNICACION GALEGAS RETEGAL SA;100;REDES DE TELECOMUNICACION GALEGAS RETEGAL, SA;62
107003;MAMA-0800422;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;;2024-12-31;True;False;False;0;0;0;;;;;;;;;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
107110;MAMA-0800430;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;;2024-12-31;False;False;False;0;0;0;;;;;;;;;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
107217;MAMA-1000148;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;;2025-12-31;True;False;False;0;0;0;;;;;;;;;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
107361;MAMA-1100114;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2011-05-10;2026-12-31;True;False;False;5714;476;16;;;;;;;;;XFERA MOVILES S.A.;94;XFERA MOVILES, S.A.U.;86
107468;MAMA-1100186;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2011-04-11;2026-12-31;True;False;False;5743;479;16;;;;;;;;;XFERA MOVILES S.A.;94;XFERA MOVILES, S.A.U.;86
107538;MAMA-1100221;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;;2022-12-31;True;False;False;0;0;0;;;;;;;;;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
107750;MAMA-1100325;RETEVISION I, S.A.;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;;2022-12-31;True;False;False;0;0;0;;;;;;;;;RETEVISION I S.A.;100;RETEVISION I, S.A.;100
107859;MAMA-1200071;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2012-08-06;2022-12-31;True;False;False;3799;317;11;;;;;;;;;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
107966;MAMA-1200072;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2012-08-06;2022-12-31;True;False;False;3799;317;11;;;;;;;;;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
