;Referencia;Titular;NIF/CIF;Domicilio social;Localidad;Provincia;C. Postal;F. Concesion;F. Caducidad;Susceptible cesion;Susceptible mutualizacion;Obtenido por transferencia;dia_concesion;mes_concesion;año_concesion
50;ALAL-1601118;AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL;B53704599;CL RAMON Y CAJAL,11 (PARQUE EMPRESARIAL);ELCHE;ALICANTE/ALACANT;3203;2016-07-14;2026-12-31;True;False;False;3822;318;11
51;ALAL-1601119;AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL;B53704599;CL RAMON Y CAJAL,11 (PARQUE EMPRESARIAL);ELCHE;ALICANTE/ALACANT;3203;2016-06-23;2026-12-31;True;False;False;3843;320;11
52;ALAL-1603640;SPOTTING BRANDS TECHNOLOGIES, S.L.;B86779584;AV BRUSELAS (DE), 38;ALCOBENDAS;MADRID;28108;2016-09-27;2026-12-31;True;False;True;3747;312;10
55;ALAL-1700160;TELPLAY . SL;B73264129;CALLE JUAN RAMON JIMENEZ, 17;PUERTO LUMBRERAS;MURCIA;30890;2017-01-27;2022-12-31;True;False;False;2164;180;6
56;ALAL-1700191;AIRE NETWORKS DEL MEDITERRANEO S.L.;B53704599;CALLE SANTIAGO RAMON Y CAJAL, 11.;ELCHE;ALICANTE/ALACANT;3203;2017-02-17;2022-12-31;True;False;False;2143;179;6
57;ALAL-1700238;RETEVISION I, S.A.U.;A62275680;CALLE JUAN ESPLANDIU, 11.;MADRID;MADRID;28007;2017-05-17;2022-12-31;True;False;False;2054;171;6
58;ALAL-1700355;VODAFONE ONO SA;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2017-07-28;2022-12-31;True;False;False;1982;165;6
59;ALAL-1700443;AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.;A41999913;AV ANDALUCÍA, S/N. 4º;SEVILLA;SEVILLA;41907;2017-09-21;2022-12-31;False;False;False;1927;161;5
60;ALAL-1700463;SPOTTING BRANDS TECHNOLOGIES, S.L.;B86779584;AV BRUSELAS (DE), 38;ALCOBENDAS;MADRID;28108;2017-09-29;2022-12-31;True;False;True;1919;160;5
61;ALAL-1700505;VODAFONE ONO SA;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2017-11-15;2022-12-31;True;False;False;1872;156;5
62;ALAL-1800003;AIRE NETWORKS DEL MEDITERRANEO S.L.;B53704599;CALLE SANTIAGO RAMON Y CAJAL, 11.;ELCHE;ALICANTE/ALACANT;3203;2018-01-25;2023-12-31;True;False;False;2166;180;6
63;ALAL-1800004;TELPLAY SL;B73264129;CL ORFEON FERNANDEZ CABALLERO, 34. BAJOº;PUERTO LUMBRERAS-PUERTO LUMBRERAS;MURCIA;30890;2018-01-31;2023-12-31;True;False;False;2160;180;6
64;ALAL-1800014;SPOTTING BRANDS TECHNOLOGIES, S.L.;B86779584;AV BRUSELAS (DE), 38;ALCOBENDAS;MADRID;28108;2018-06-03;2023-12-31;True;False;True;2037;170;6
66;ALAL-1800031;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2018-04-16;2023-12-31;True;False;False;2085;174;6
67;ALAL-1800079;TELPLAY SL;B73264129;CL ORFEON FERNANDEZ CABALLERO, 34. BAJOº;PUERTO LUMBRERAS-PUERTO LUMBRERAS;MURCIA;30890;2018-09-05;2023-12-31;True;False;False;1943;162;5
68;ALAL-1800089;WIMACON COMUNICACIONES SL;B04750964;CL PERU, 5. 1º 6;ALCANTARILLA;MURCIA;30820;2018-09-05;2023-12-31;True;False;False;1943;162;5
69;ALAL-1800159;RETEVISION I, SAU;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;2018-06-20;2023-12-31;True;False;False;2020;168;6
70;ALAL-1800166;RETEVISION I, SAU;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;2018-06-22;2023-12-31;True;False;False;2018;168;6
71;ALAL-1800183;SPOTTING BRANDS TECHNOLOGIES, S.L.;B86779584;AV BRUSELAS (DE), 38;ALCOBENDAS;MADRID;28108;2018-07-27;2023-12-31;True;False;True;1983;165;6
72;ALAL-1800184;SPOTTING BRANDS TECHNOLOGIES, S.L.;B86779584;AV BRUSELAS (DE), 38;ALCOBENDAS;MADRID;28108;2018-07-27;2023-12-31;True;False;True;1983;165;6
73;ALAL-1800199;WIMACON COMUNICACIONES SL;B04750964;CL PERU, 5. 1º 6;ALCANTARILLA;MURCIA;30820;2018-09-19;2023-12-31;True;False;False;1929;161;5
