;Referencia;Titular;NIF/CIF;Domicilio social;Localidad;Provincia;C. Postal;F. Concesion;F. Caducidad;Susceptible cesion;Susceptible mutualizacion;Obtenido por transferencia;dia_concesion;mes_concesion;año_concesion
3058;GEGE-2000784;TRADIA TELECOM, S.A.;A61902045;AVDA PARC LOGISTIC, 12.;BARCEONA;BARCELONA;8040;2020-11-18;2025-12-31;True;False;False;1869;156;5
3059;GEGE-2000849;J.C. TECNICS SL;B17485400;CALLE RABÓS D'EMPORDÀ, 14. 2º 7;FIGUERES;GIRONA;17600;2020-02-12;2025-12-31;True;False;False;2149;179;6
3060;GEGE-2000863;TRADIA TELECOM, S.A.;A61902045;AVDA PARC LOGISTIC, 12.;BARCELONA;BARCELONA;8040;2021-01-27;2026-12-31;True;False;False;2164;180;6
3062;GEGE-2000886;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-12-03;2026-12-31;True;False;False;1854;154;5
3063;GEGE-2100004;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-08-02;2026-12-31;True;False;False;1977;165;5
3064;GEGE-2100032;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-12-03;2026-12-31;True;False;False;1854;154;5
3065;GEGE-2100033;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-03-18;2026-12-31;True;False;False;2114;176;6
3066;GEGE-2100034;TRADIA TELECOM, S.A.;A61902045;AVDA PARC LOGISTIC, 12.;BARCELONA;BARCELONA;8040;2021-05-04;2026-12-31;True;False;False;2067;172;6
3067;GEGE-2100035;TRADIA TELECOM, S.A.;A61902045;AVDA PARC LOGISTIC, 12.;BARCELONA;BARCELONA;8040;2021-12-03;2026-12-31;True;False;False;1854;154;5
3068;GEGE-2100097;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-03-03;2026-12-31;True;False;False;2129;177;6
3069;GEGE-2100141;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-12-03;2026-12-31;True;False;False;1854;154;5
3070;GEGE-2100149;TRADIA TELECOM, S.A.;A61902045;AVDA PARC LOGISTIC, 12.;BARCELONA;BARCELONA;8040;2021-03-24;2026-12-31;False;False;False;2108;176;6
3071;GEGE-2100209;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-12-04;2026-12-31;True;False;False;1853;154;5
3073;GEGE-2100220;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-04-21;2026-12-31;True;False;False;2080;173;6
3074;GEGE-2100221;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-04-16;2026-12-31;True;False;False;2085;174;6
3075;GEGE-2100248;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-04-21;2026-12-31;True;False;False;2080;173;6
3076;GEGE-2100250;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-04-22;2026-12-31;True;False;False;2079;173;6
3077;GEGE-2100259;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-04-05;2026-12-31;True;False;False;2096;175;6
3078;GEGE-2100260;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-04-05;2026-12-31;False;False;False;2096;175;6
3079;GEGE-2100327;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-05-13;2026-12-31;False;False;False;2058;172;6
3080;GEGE-2100370;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-05-28;2026-12-31;True;False;False;2043;170;6
3081;GEGE-2100378;J.C. TECNICS SL;B17485400;CALLE RABOS D'EMPORDA, 14.;FIGUERES;GIRONA;17600;2021-02-06;2026-12-31;True;False;False;2154;180;6
3082;GEGE-2100431;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-09-06;2026-12-31;True;False;False;1942;162;5
3084;GEGE-2100475;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-02-07;2026-12-31;True;False;False;2153;179;6
3085;GEGE-2100493;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-06-07;2026-12-31;True;False;False;2033;169;6
3086;GEGE-2100508;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-06-07;2026-12-31;True;False;False;2033;169;6
3087;GEGE-2100509;TRADIA TELECOM, S.A.;A61902045;AVDA PARC LOGÍSTICO, 12.;BARCELONA;BARCELONA;8040;2021-06-07;2026-12-31;True;False;False;2033;169;6
3088;GEGE-2100520;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-12-07;2026-12-31;True;False;False;1850;154;5
3089;GEGE-2100553;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-03-08;2026-12-31;True;False;False;2124;177;6
3090;GEGE-2100576;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-03-08;2026-12-31;True;False;False;2124;177;6
3091;GEGE-2100591;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-08-20;2026-12-31;False;False;False;1959;163;5
3092;GEGE-2100732;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-04-10;2026-12-31;True;False;False;2091;174;6
3093;GEGE-2100733;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-10-18;2026-12-31;True;False;False;1900;158;5
3095;GEGE-2100734;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-04-10;2026-12-31;True;False;False;2091;174;6
3096;GEGE-2100735;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-04-10;2026-12-31;True;False;False;2091;174;6
3097;GEGE-2100775;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-04-10;2026-12-31;True;False;False;2091;174;6
3098;GEGE-2100797;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-10-27;2026-12-31;True;False;False;1891;158;5
3099;GEGE-2100888;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-11-24;2026-12-31;True;False;False;1863;155;5
3100;GEGE-2100889;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-01-12;2026-12-31;True;False;False;2179;182;6
3101;GEGE-2100918;TRADIA TELECOM, S.A.;A61902045;PASEO ZONA FRANCA, 105.;BARCELONA;BARCELONA;8038;2022-01-18;2027-12-31;True;False;False;2173;181;6
3102;GEGE-2200250;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2022-03-28;2027-12-31;True;False;False;2104;175;6
3103;GEGE-2200251;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2022-03-22;2027-12-31;True;False;False;2110;176;6
3104;GEGE-2200252;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2022-03-22;2027-12-31;True;False;False;2110;176;6
3106;GEGE-2200267;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2022-04-27;2027-12-31;True;False;False;2074;173;6
3107;GEGE-2200272;VODAFONE ONO S.A.;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2022-12-04;2027-12-31;True;False;False;1853;154;5
3108;GEGE-2200297;VODAFONE ONO S.A.;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2022-12-05;2027-12-31;True;False;False;1852;154;5
3109;GEGE-2200298;VODAFONE ONO S.A.;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2022-04-27;2027-12-31;True;False;False;2074;173;6
3110;GEGE-2200299;VODAFONE ONO S.A.;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2022-12-05;2027-12-31;True;False;False;1852;154;5
3111;GEGE-2200300;VODAFONE ONO S.A.;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2022-04-25;2027-12-31;True;False;False;2076;173;6
3112;GEGE-2200311;TRADIA TELECOM, S.A.;A61902045;AVDA PASEO DE LA ZONA FRANCA, 105.;BARCELONA;BARCELONA;8038;2022-12-05;2027-12-31;True;False;False;1852;154;5
3113;GEGE-2200322;VODAFONE ONO S.A.;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2022-10-05;2027-12-31;True;False;False;1913;159;5
3114;GEZZ-2000782;TRADIA TELECOM, S.A.;A61902045;AVDA PARC LOGISTIC, 12.;BARCELONA;BARCELONA;8040;2020-12-29;2025-12-31;True;False;False;1828;152;5
3115;GEZZ-2000783;TRADIA TELECOM, S.A.;A61902045;AVDA PARC LOGISTIC, 12.;BARCELONA;BARCELONA;8040;2020-11-23;2025-12-31;True;False;False;1864;155;5
3117;GEZZ-2200241;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2022-03-31;2027-12-31;True;False;False;2101;175;6
3118;L L -0800040;TRADIA TELECOM, S.A.;A61902045;AVDA PARC LOGISTIC, 12.;BARCELONA;BARCELONA;8040;2008-06-30;2023-12-31;True;False;False;5662;472;16
3119;L L -0800096;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2008-05-11;2023-12-31;True;False;False;5712;476;16
3120;L L -0800241;TRADIA TELECOM, S.A.;A61902045;AVDA PARC LOGISTIC, 12.;BARCELONA;BARCELONA;8040;2009-09-03;2024-12-31;True;False;False;5598;466;16
3121;L L -0800242;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2009-09-03;2024-12-31;True;False;False;5598;466;16
3122;L L -0800265;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2009-09-03;2024-12-31;True;False;False;5598;466;16
3123;L L -0800266;TRADIA TELECOM, S.A.;A61902045;AVDA PARC LOGISTIC, 12.;BARCELONA;BARCELONA;8040;2009-09-03;2024-12-31;True;False;False;5598;466;16
3124;L L -0900028;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2009-09-03;2024-12-31;True;False;False;5598;466;16
3125;L L -0900078;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2009-04-17;2024-12-31;True;False;False;5737;478;16
3126;L L -0900082;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2009-11-11;2024-12-31;True;False;False;5529;461;15
3128;L L -0900107;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2009-06-25;2024-12-31;True;False;False;5668;472;16
3129;L L -0900131;RETEVISION I, S.A.;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;2009-11-11;2024-12-31;True;False;False;5529;461;15
3130;L L -0900256;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2010-01-22;2025-12-31;True;False;False;5822;485;16
3131;L L -0900257;RETEVISION I, S.A.;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;2010-01-22;2025-12-31;True;False;False;5822;485;16
3132;L L -0900266;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2010-01-26;2025-12-31;True;False;False;5818;485;16
3133;L L -1000001;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2010-02-16;2025-12-31;True;False;False;5797;483;16
3134;L L -1100092;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2011-01-07;2026-12-31;True;False;False;5837;486;16
3135;L L -1100104;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2011-08-22;2026-12-31;True;False;False;5610;468;16
3136;L L -1100105;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2011-08-22;2026-12-31;True;False;False;5610;468;16
3137;L L -1100106;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2011-06-09;2026-12-31;True;False;False;5684;474;16
3139;L L -1100107;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2011-08-22;2026-12-31;True;False;False;5610;468;16
3140;L L -1100108;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2011-08-22;2026-12-31;True;False;False;5610;468;16
3141;L L -1100109;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2011-08-22;2026-12-31;True;False;False;5610;468;16
3142;L L -1100110;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2011-08-22;2026-12-31;True;False;False;5610;468;16
3143;L L -1100111;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2011-08-22;2026-12-31;True;False;False;5610;468;16
3144;L L -1100112;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2011-08-22;2026-12-31;True;False;False;5610;468;16
3145;L L -1100113;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2011-08-22;2026-12-31;True;False;False;5610;468;16
3146;L L -1100114;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2011-08-22;2026-12-31;True;False;False;5610;468;16
3147;L L -1100116;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2011-09-29;2026-12-31;True;False;False;5572;464;15
3148;L L -1100117;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2011-07-10;2026-12-31;True;False;False;5653;471;16
3150;L L -1100118;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2011-10-24;2026-12-31;True;False;False;5547;462;15
3151;L L -1100119;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2011-10-14;2026-12-31;True;False;False;5557;463;15
3152;L L -1100120;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2011-08-24;2026-12-31;True;False;False;5608;467;16
3153;L L -1100121;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2011-10-17;2026-12-31;True;False;False;5554;463;15
3154;L L -1100125;TRADIA TELECOM, S.A.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2011-08-22;2026-12-31;True;False;False;5610;468;16
3155;L L -1200072;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2012-02-07;2022-12-31;True;False;False;3980;332;11
3156;L L -1200159;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2013-02-25;2022-06-30;True;False;False;3412;284;9
3157;L L -1300191;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2013-07-11;2023-12-31;True;False;False;3825;319;11
3158;L L -1300208;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2014-07-01;2024-12-31;True;False;False;3836;320;11
3159;L L -1300210;VODAFONE ONO SA;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2013-11-28;2022-06-30;True;False;False;3136;261;9
3161;L L -1300246;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2014-06-02;2024-12-31;True;False;False;3865;322;11
3162;L L -1400088;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2014-08-04;2024-12-31;True;False;False;3802;317;11
3163;L L -1500453;SEROSENSE TELECOM SLU;B25796483;CTRA N-II KM.450;TORRES DE SEGRE;LLEIDA;25170;2015-10-22;2025-12-31;False;False;False;3723;310;10
3164;L L -1500454;TRADIA TELECOM SA;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2015-10-22;2025-12-31;True;False;False;3723;310;10
3165;L L -1500472;ETELECOM SEGRIA SLU;B25474917;C/ LLIBERTAT, 13;LLEIDA;LLEIDA;25005;2015-10-14;2025-12-31;True;False;False;3731;311;10
3166;L L -1600130;ORANGE ESPAGNE, SAU;A82009812;PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE;POZUELO DE ALARCÓN;MADRID;28223;2016-06-13;2026-12-31;True;False;False;3853;321;11
3167;L L -1600344;RETEVISION I SA;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;2016-10-11;2026-12-31;True;False;False;3733;311;10
3168;L L -1600375;RETEVISION I, S.A.U.;A62275680;CALLE JUAN ESPLANDIÚ, 11.;MADRID;MADRID;28007;2016-12-22;2026-12-31;True;False;False;3661;305;10
3169;L L -1700192;MARQUES BIDCO SL;B88419569;CL PEDRO TEIXEIRA, 8. 6º;MADRID;MADRID;28020;2017-05-19;2022-12-31;True;False;True;2052;171;6
3170;L L -1700208;TRADIA TELECOM, S.A.UNIP.;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. JAVIER CABELLO);MADRID;MADRID;28007;2017-05-19;2022-12-31;True;False;False;2052;171;6
3172;L L -1700296;RETEVISION I, S.A.UNIP.;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;2017-06-20;2022-12-31;True;False;False;2020;168;6
3173;L L -1800046;TRADIA TELECOM, SAU;A61902045;AV PARC LOGISTIC, 12-20;BARCELONA;BARCELONA;8040;2018-04-04;2023-12-31;True;False;False;2097;175;6
3174;L L -1800246;RETEVISION I, S.A.U.;A62275680;CALLE JUAN ESPLANDIÚ, 11.;MADRID;MADRID;28007;2018-07-17;2023-12-31;True;False;False;1993;166;6
3175;L L -1800325;ORANGE ESPAGNE, SAU;A82009812;PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE;POZUELO DE ALARCÓN;MADRID;28223;2018-05-10;2023-12-31;True;False;False;2061;172;6
3176;L L -1900128;ORANGE ESPAÑA, SA;A82009812;PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE;POZUELO DE ALARCÓN;MADRID;28223;2019-03-15;2024-12-31;True;False;False;2118;176;6
3177;L L -1900223;SEROSENSE TELECOM SL;B25796483;CR N-II KM., 450. 0º;TORRES DE SEGRE;LLEIDA;25170;2019-04-30;2024-12-31;True;False;False;2072;173;6
3178;L L -1900273;TRADIA TELECOM, SAU;A61902045;AV PARC LOGISTIC, 12-20;BARCELONA;BARCELONA;8040;2019-04-25;2024-12-31;True;False;False;2077;173;6
3179;L L -1900585;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2019-11-19;2024-12-31;True;False;False;1869;156;5
3180;L L -1900649;TRADIA TELECOM, S.A.UNIP.;A61902045;AV PARC LOGISTIC, 12-20;BARCELONA;BARCELONA;8040;2020-06-04;2025-12-31;True;False;False;2036;170;6
3181;L L -1900650;TRADIA TELECOM, S.A.UNIP.;A61902045;AV PARC LOGISTIC, 12-20;BARCELONA;BARCELONA;8040;2020-06-04;2025-12-31;True;False;False;2036;170;6
3183;L L -2000065;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2020-01-06;2025-12-31;True;False;False;2186;182;6
3184;L L -2000070;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2020-08-07;2025-12-31;True;False;False;1972;164;5
3185;L L -2000159;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2020-10-15;2025-12-31;True;False;False;1903;159;5
3186;L L -2000168;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2020-11-17;2025-12-31;True;False;False;1870;156;5
3187;L L -2000173;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2020-11-20;2025-12-31;True;False;False;1867;156;5
3188;L L -2000194;RETEVISION I, S.A.U.;A62275680;CALLE JUAN ESPLANDIÚ, 11.;MADRID;MADRID;28007;2021-01-14;2026-12-31;True;False;False;2177;181;6
3189;L L -2000202;TRADIA TELECOM, S.A.;A61902045;AVDA PARC LOGISTIC, 12.;BARCELONA;BARCELONA;8040;2020-12-18;2025-12-31;True;False;False;1839;153;5
3190;L L -2100024;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-02-16;2026-12-31;True;False;False;2144;179;6
3191;L L -2100052;TRADIA TELECOM, S.A.;A61902045;AVDA PARC LOGISTIC, 12.;BARCELONA;BARCELONA;8040;2021-09-03;2026-12-31;True;False;False;1945;162;5
3192;L L -2100055;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-02-23;2026-12-31;True;False;False;2137;178;6
3194;L L -2100085;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-02-16;2026-12-31;True;False;False;2144;179;6
3195;L L -2100158;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-03-18;2026-12-31;True;False;False;2114;176;6
3196;L L -2100268;E. TELECOM SEGRIA SL;B25474917;CALLE LLIBERTAT, 13.;LLEIDA;LLEIDA;25005;2021-03-18;2026-12-31;True;False;False;2114;176;6
3197;L L -2100277;TRADIA TELECOM, S.A.;A61902045;AVDA PARC LOGISTIC, 12.;BARCELONA;BARCELONA;8040;2021-03-26;2026-12-31;True;False;False;2106;176;6
3198;L L -2100303;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-04-27;2026-12-31;True;False;False;2074;173;6
3199;L L -2100373;SEROSENSE TELECOM SL;B25796483;CTRA N-II, 450.;TORRES DE SEGRE;LLEIDA;25170;2021-04-21;2026-12-31;True;False;False;2080;173;6
3200;L L -2100381;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-04-27;2026-12-31;True;False;False;2074;173;6
3201;L L -2100382;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-04-27;2026-12-31;True;False;False;2074;173;6
3202;L L -2100563;RETEVISION I, S.A.U.;A62275680;CALLE JUAN ESPLANDIÚ, 11.;MADRID;MADRID;28007;2021-06-07;2026-12-31;True;False;False;2033;169;6
3203;L L -2100564;TRADIA TELECOM, S.A.;A61902045;AVDA PARC LOGÍSTICO, 12.;BARCELONA;BARCELONA;8040;2021-02-07;2026-12-31;True;False;False;2153;179;6
3205;L L -2100631;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-06-08;2026-12-31;True;False;False;2032;169;6
3206;L L -2100844;TRADIA TELECOM, S.A.;A61902045;AVDA PARC LOGISTIC, 12.;BARCELONA;BARCELONA;8040;2021-10-18;2026-12-31;True;False;False;1900;158;5
3207;L L -2200004;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2022-01-14;2027-12-31;True;False;False;2177;181;6
3208;L L -2200032;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2022-01-25;2027-12-31;True;False;False;2166;180;6
3209;L L -2200051;PIC DE COGULLO, S.L.;B25522152;AVDA PAU CLARIS, 8. 1º;LA SEU D'URGELL;LLEIDA;25700;2022-02-14;2027-12-31;True;False;False;2146;179;6
3210;L L -2200189;VODAFONE ONO S.A.;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2022-06-16;2027-12-31;True;False;False;2024;169;6
3211;L L -2200210;VODAFONE ONO S.A.;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2022-06-16;2027-12-31;True;False;False;2024;169;6
3212;L L -2200231;TRADIA TELECOM, S.A.;A61902045;AVDA PASEO DE LA ZONA FRANCA, 105.;BARCELONA;BARCELONA;8038;2022-06-30;2027-12-31;True;False;False;2010;168;6
3213;L L -2200232;RETEVISION I, S.A.U.;A62275680;AVDA PASEO DE LA ZONA FRANCA, 105.;BARCELONA;BARCELONA;8038;2022-06-16;2027-12-31;True;False;False;2024;169;6
3214;L ZZ-0700001;TRADIA TELECOM SA;A61902045;CL JUAN ESPLANDIU, 11-13 (ATT. D. Javier Cabello);MADRID;MADRID;28007;2007-08-02;2022-12-31;True;False;False;5630;469;16
3216;L ZZ-1400204;LLEIDA WIFI NETWORKS SL;B25537127;POLIG INDUSTRIAL EL SEGRE, PARC.414 NAVE, 2.;LLEIDA;LLEIDA;25191;2014-11-21;2024-12-31;True;False;False;3693;308;10
3217;L ZZ-1800035;TRADIA TELECOM, S.A.;A61902045;AVDA PARC LOGISTIC, 12.;BARCELONA;BARCELONA;8040;2018-01-03;2023-12-31;True;False;False;2188;182;6
3218;L ZZ-2100380;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-04-27;2026-12-31;True;False;False;2074;173;6
3219;M B -0001007;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2001-03-26;2026-12-31;True;False;False;9411;784;26
3220;M B -0400257;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2005-09-21;2025-12-31;True;False;False;7406;617;21
3221;M B -0400258;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2005-09-21;2025-12-31;True;False;False;7406;617;21
